Description,Category
vacation cruise reservation,Travel
day spa appointment,Personal Care
luggage bag booking,Travel
veterinary clinic store,Pets
dentist office,Health
concert ticket subscription,Entertainment
ulta beauty,Personal Care
att mobile monthly,Utilities
macys store,Shopping
urgent care bill,Health
walgreens bill,Health
internet broadband,Utilities
uber,Transport
luggage bag booking,Travel
petco,Pets
walmart store,Shopping
shell gas station,Transport
luggage bag booking,Travel
shell gas,Transport
sewer bill monthly,Utilities
wendys payment,Food
shell gas ride,Transport
bus pass ticket,Transport
pet grooming,Pets
expedia flight,Travel
kroger purchase,Food
trash collection,Utilities
home depot store,Shopping
amtrak ticket,Transport
uber,Transport
trash collection,Utilities
whole foods,Food
apartment rent,Utilities
apartment rent fee,Utilities
urgent care,Health
lyft,Transport
airbnb booking booking,Travel
walgreens bill,Health
shell gas ride,Transport
playstation membership,Entertainment
apple store checkout,Shopping
pizza hut payment,Food
hulu subscription,Entertainment
walmart,Shopping
pizza hut purchase,Food
first aid kit bill,Health
coursera subscription fee,Education
cvs pharmacy bill,Health
sewer bill,Utilities
chewy online store,Pets
veterinary clinic visit,Pets
petco,Pets
vacation cruise,Travel
urgent care bill,Health
eye doctor health,Health
shell gas,Transport
steam games,Entertainment
amtrak ride,Transport
udemy course fee,Education
hospital copay clinic,Health
whole foods payment,Food
hospital copay clinic,Health
luggage bag,Travel
dog walker,Pets
electric bill monthly,Utilities
electric bill monthly,Utilities
day spa appointment,Personal Care
college textbook store,Education
walgreens bill,Health
barber shop,Personal Care
bus pass station,Transport
subway payment,Food
target,Shopping
manicure pedicure appointment,Personal Care
exxonmobil ride,Transport
apartment rent fee,Utilities
electric bill monthly,Utilities
wendys purchase,Food
cinema subscription,Entertainment
petco visit,Pets
vacation cruise reservation,Travel
verizon monthly,Utilities
att mobile,Utilities
exxonmobil,Transport
udemy course store,Education
chevron station,Transport
exxonmobil station,Transport
target,Shopping
mcdonalds purchase,Food
university tuition online,Education
hospital copay clinic,Health
playstation membership,Entertainment
wendys,Food
electric bill monthly,Utilities
metro station,Transport
nike,Shopping
resort fee booking,Travel
dog walker visit,Pets
chewy online supplies,Pets
dog walker visit,Pets
wendys order,Food
chevron ticket,Transport
ebay online,Shopping
apple store online,Shopping
haircut salon routine,Personal Care
dentist office clinic,Health
concert ticket membership,Entertainment
chevron,Transport
hospital copay,Health
water bill fee,Utilities
kroger purchase,Food
dog food bag supplies,Pets
luggage bag trip,Travel
udemy course,Education
uber to resort trip,Travel
manicure pedicure appointment,Personal Care
resort fee reservation,Travel
spotify membership,Entertainment
expedia flight reservation,Travel
shampoo and soap appointment,Personal Care
veterinary clinic store,Pets
haircut salon routine,Personal Care
verizon fee,Utilities
luggage bag booking,Travel
best buy checkout,Shopping
steam games membership,Entertainment
cat litter store,Pets
day spa,Personal Care
ulta beauty,Personal Care
urgent care clinic,Health
home depot,Shopping
pizza hut purchase,Food
skincare products store,Personal Care
urgent care,Health
shampoo and soap store,Personal Care
electric bill fee,Utilities
ikea store,Shopping
steam games,Entertainment
sewer bill,Utilities
quest diagnostics health,Health
playstation premium,Entertainment
coursera subscription fee,Education
udemy course store,Education
vacation cruise reservation,Travel
electric bill payment,Utilities
nike online,Shopping
kroger,Food
kroger order,Food
cat litter visit,Pets
dentist office bill,Health
shell gas ride,Transport
petsmart,Pets
dog walker,Pets
notebooks and pens online,Education
airbnb booking booking,Travel
petsmart,Pets
expedia flight trip,Travel
public transit ticket,Transport
dentist office,Health
steam games premium,Entertainment
apartment rent payment,Utilities
university tuition fee,Education
expedia flight,Travel
coursera subscription fee,Education
manicure pedicure,Personal Care
expedia flight trip,Travel
hulu membership,Entertainment
urgent care bill,Health
resort fee trip,Travel
taco bell,Food
home depot store,Shopping
petsmart supplies,Pets
sephora cosmetics store,Personal Care
day spa store,Personal Care
hertz car rental,Travel
cvs pharmacy bill,Health
att mobile monthly,Utilities
resort fee,Travel
hospital copay health,Health
veterinary clinic supplies,Pets
pizza hut payment,Food
wendys purchase,Food
hulu,Entertainment
exxonmobil ride,Transport
whole foods purchase,Food
udemy course fee,Education
hertz car rental,Travel
veterinary clinic,Pets
att mobile,Utilities
spotify premium,Entertainment
best buy,Shopping
sewer bill,Utilities
resort fee trip,Travel
sephora cosmetics routine,Personal Care
subway order,Food
amtrak station,Transport
veterinary clinic store,Pets
resort fee reservation,Travel
resort fee trip,Travel
target online,Shopping
cinema membership,Entertainment
mcdonalds order,Food
nike,Shopping
petsmart supplies,Pets
student loan payment online,Education
home depot store,Shopping
playstation membership,Entertainment
first aid kit bill,Health
vacation cruise trip,Travel
flea medication visit,Pets
chewy online store,Pets
apple store store,Shopping
apartment rent payment,Utilities
walmart store,Shopping
electric bill,Utilities
petsmart supplies,Pets
haircut salon appointment,Personal Care
walmart,Shopping
subway order,Food
cinema,Entertainment
disney plus premium,Entertainment
chipotle order,Food
student loan payment fee,Education
exxonmobil ride,Transport
shell gas,Transport
uber ride,Transport
water bill fee,Utilities
pet grooming,Pets
flea medication store,Pets
exxonmobil station,Transport
best buy,Shopping
manicure pedicure,Personal Care
shell gas station,Transport
ulta beauty,Personal Care
mcdonalds payment,Food
prescription refill health,Health
apple store checkout,Shopping
spotify,Entertainment
public transit ticket,Transport
petsmart,Pets
dog food bag supplies,Pets
water bill,Utilities
barber shop appointment,Personal Care
eye doctor bill,Health
disney plus subscription,Entertainment
trash collection fee,Utilities
expedia flight booking,Travel
ebay online,Shopping
subway order,Food
sephora cosmetics appointment,Personal Care
public transit ticket,Transport
manicure pedicure appointment,Personal Care
subway,Food
local bakery purchase,Food
dog food bag visit,Pets
apartment rent monthly,Utilities
airbnb booking reservation,Travel
local bakery payment,Food
haircut salon store,Personal Care
chevron station,Transport
shell gas ride,Transport
ikea,Shopping
playstation premium,Entertainment
skincare products routine,Personal Care
lyft,Transport
steam games membership,Entertainment
internet broadband fee,Utilities
spotify,Entertainment
airbnb booking,Travel
public transit ticket,Transport
khan academy donation fee,Education
skincare products,Personal Care
student loan payment store,Education
khan academy donation,Education
student loan payment store,Education
udemy course store,Education
day spa store,Personal Care
apple store,Shopping
petsmart supplies,Pets
expedia flight,Travel
bus pass station,Transport
uber to resort booking,Travel
hospital copay,Health
chevron station,Transport
nike,Shopping
metro ride,Transport
dog food bag store,Pets
advil medicine bill,Health
pizza hut purchase,Food
coursera subscription fee,Education
chipotle order,Food
coursera subscription fee,Education
ebay store,Shopping
water bill payment,Utilities
verizon fee,Utilities
playstation subscription,Entertainment
hulu subscription,Entertainment
urgent care,Health
chipotle,Food
local bakery purchase,Food
exxonmobil,Transport
netflix premium,Entertainment
sephora cosmetics store,Personal Care
dentist office clinic,Health
bus pass ride,Transport
cvs pharmacy,Health
prescription refill clinic,Health
dentist office,Health
ulta beauty store,Personal Care
ikea checkout,Shopping
cvs pharmacy clinic,Health
dog food bag visit,Pets
school supplies online,Education
day spa appointment,Personal Care
barber shop store,Personal Care
kroger order,Food
lyft,Transport
wendys order,Food
sephora cosmetics appointment,Personal Care
exxonmobil ticket,Transport
chewy online supplies,Pets
marriott hotel,Travel
xbox,Entertainment
flea medication,Pets
khan academy donation fee,Education
ebay online,Shopping
hospital copay,Health
apple store online,Shopping
cvs pharmacy,Health
taco bell order,Food
bus pass ride,Transport
college textbook store,Education
ikea online,Shopping
apple store,Shopping
ulta beauty routine,Personal Care
shampoo and soap routine,Personal Care
advil medicine,Health
amtrak station,Transport
ebay store,Shopping
khan academy donation store,Education
vacation cruise booking,Travel
haircut salon appointment,Personal Care
exxonmobil,Transport
dog walker store,Pets
internet broadband fee,Utilities
playstation premium,Entertainment
cinema membership,Entertainment
apple store online,Shopping
starbucks order,Food
